	S15	S3	S17	S18	S10	S30	S2	S11	S20	S26	S16	S35	S23	S21	S1	S24	S39	S8	S31	S19	S12	S9	S22	S37	S29	S7	S32	S14	S4	S36	S5	S25	S27	S40	S33	S28	S6	S13
K05597: glutamin-(asparagin-)ase [EC:3.5.1.38]	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0
K05594: ElaB protein	0	14	4	0	0	0	1	4	0	0	0	7	0	0	0	17	1	0	0	1	0	0	0	0	0	22	7	41	0	10	0	0	0	0	2	0	193	35
K05595: multiple antibiotic resistance protein	880	1608	1346	1665	1557	865	476	1740	1178	754	873	896	1242	1384	838	1004	1306	850	1655	1339	747	1467	1342	993	849	1161	1399	763	1854	1325	1424	1253	1293	1318	1209	1112	732	1220
K05599: anthranilate 1,2-dioxygenase (deaminating, decarboxylating) large subunit [EC:1.14.12.1]	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
K11964: pellino	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K11962: urea transport system ATP-binding protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K14540: ribosome biogenesis GTPase A	634	606	496	136	476	908	1070	333	702	1228	545	988	385	391	589	737	561	918	77	197	839	376	449	678	996	466	217	186	241	853	509	999	394	816	814	1119	237	188
K12529: putative selenate reductase FAD-binding subunit	0	14	4	0	0	0	0	4	0	0	0	7	0	0	0	13	1	0	0	0	0	0	0	0	0	22	7	41	0	10	0	0	0	0	2	0	187	32
K12528: putative selenate reductase molybdopterin-binding subunit	0	14	4	0	0	0	0	4	0	0	0	7	0	0	0	13	1	0	0	0	0	0	0	0	0	22	7	41	0	10	0	0	0	0	2	0	187	32
K06353: phosphatase RapC regulator	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K02456: general secretion pathway protein G	234	85	34	80	38	79	41	31	51	106	46	52	501	106	39	157	35	259	191	24	497	51	139	10	137	172	130	219	198	88	64	36	66	16	62	71	305	394
K02457: general secretion pathway protein H	0	14	8	73	2	1	21	15	2	87	0	13	27	72	3	81	1	0	188	4	0	0	71	1	16	30	108	207	169	40	11	35	26	3	46	2	253	328
K02454: general secretion pathway protein E	230	70	35	82	18	8	38	49	21	99	39	19	478	99	34	102	48	221	192	27	506	43	124	15	34	178	139	216	185	47	49	37	50	14	65	8	262	384
K02455: general secretion pathway protein F	109	37	17	80	9	4	28	23	9	95	6	14	237	88	11	88	9	105	190	10	241	25	88	7	19	99	127	210	184	44	26	36	31	5	53	6	256	359
K02452: general secretion pathway protein C	0	14	8	73	2	1	20	15	2	90	0	13	27	72	3	81	1	0	188	4	0	1	70	1	16	30	108	207	169	40	10	35	26	3	50	2	252	328
K02453: general secretion pathway protein D	331	90	29	80	9	82	38	28	29	98	9	99	667	97	40	100	10	318	193	14	716	56	105	10	122	236	130	222	197	89	49	39	57	5	54	10	261	398
K02450: general secretion pathway protein A	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	6	6
K02103: GntR family transcriptional regulator, arabinose operon transcriptional repressor	190	192	275	49	200	470	440	112	231	626	191	344	122	137	184	171	224	345	16	1009	504	128	210	249	512	231	65	157	86	365	261	506	82	386	408	557	27	52
K08138: MFS transporter, SP family, xylose:H+ symportor	306	536	527	593	571	269	122	591	449	238	284	277	411	429	316	338	400	296	498	111	220	562	410	362	258	370	479	145	598	438	517	468	253	436	427	359	293	177
K02108: F-type H+-transporting ATPase subunit a [EC:3.6.3.14]	1274	1330	1229	875	1249	1500	1769	1072	1369	1952	1274	1644	1217	1104	1258	1298	1307	1626	790	582	1733	1141	1110	1470	1514	1248	924	1004	1039	1469	1281	1715	1007	1617	1681	2191	780	801
K02109: F-type H+-transporting ATPase subunit b [EC:3.6.3.14]	1286	1366	1224	879	1235	1363	1698	1075	1384	2014	1293	1633	1199	1101	1250	1225	1323	1677	783	584	1733	1162	1103	1469	1189	1258	944	988	938	1449	1233	1912	1006	1618	1399	1886	776	809
K02458: general secretion pathway protein I	0	14	8	73	2	1	21	15	2	90	0	13	27	72	3	85	1	0	188	4	0	1	71	1	16	30	108	207	169	40	11	35	26	3	50	2	253	328
K02459: general secretion pathway protein J	0	14	8	73	2	1	21	15	2	90	0	13	27	72	3	85	1	0	188	4	0	1	71	1	16	30	108	207	169	40	11	35	26	3	50	2	253	328
K08137: MFS transporter, SP family, galactose:H+ symporter	0	24	8	73	0	0	18	15	0	85	0	16	27	72	3	97	1	0	188	2	0	0	63	0	9	48	114	241	90	46	2	34	26	1	50	0	350	351
K03851: taurine-pyruvate aminotransferase [EC:2.6.1.77]	2	8	6	8	5	0	2	8	4	0	13	0	0	0	4	3	7	14	0	3	20	27	7	5	0	26	18	0	0	4	4	0	0	2	1	3	0	1
K03850: alpha-1,2-glucosyltransferase [EC:2.4.1.-] or alpha-1,2-glucosyltransferase [EC:2.4.1.256]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K03852: sulfoacetaldehyde acetyltransferase [EC:2.3.3.15]	0	3	0	2	0	0	0	0	0	0	8	0	0	0	3	0	0	9	0	2	17	17	0	0	0	23	0	0	0	0	0	0	0	0	1	0	1	0
K03855: ferredoxin like protein	6	24	29	4	6	87	64	13	1	1	76	61	20	23	41	36	63	15	1	17	12	11	29	20	38	51	15	56	32	13	38	1	276	32	3	49	205	71
K03856: 3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]	667	605	546	164	452	1033	1016	355	649	823	605	1013	397	485	615	787	582	997	68	1140	872	399	472	854	1149	563	245	237	270	800	415	665	596	719	782	1111	247	242
K13018: UDP-D-GlcNAc3NA acetyltransferase [EC:2.3.1.-]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K13019: UDP-GlcNAc3NAcA epimerase [EC:5.1.3.23]	55	7	51	9	8	15	12	34	29	0	52	32	44	6	19	10	18	18	0	9	38	8	42	7	23	13	44	4	23	12	23	0	5	3	6	1	2	0
K13010: perosamine synthetase	18	26	89	86	130	36	14	101	77	41	21	1	45	102	73	28	40	39	138	19	21	20	94	67	38	20	48	17	17	31	59	0	9	52	59	78	63	3
K13011: O-antigen biosynthesis protein WbqL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K13012: O-antigen biosynthesis protein WbqP	164	102	86	38	67	243	134	76	153	138	136	167	95	149	120	81	62	161	9	46	139	64	81	276	236	102	70	42	52	63	39	361	42	106	140	170	38	80
K13013: O-antigen biosynthesis protein WbqV	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	4
K13014: undecaprenyl phosphate-alpha-L-ara4FN deformylase [EC:3.5.-.-]	0	24	8	73	0	0	18	17	1	85	0	16	27	72	3	97	1	0	188	1	0	0	63	0	9	48	114	241	90	46	2	34	26	1	50	0	343	348
K13015: UDP-N-acetyl-D-glucosamine dehydrogenase [EC:1.1.1.-]	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	3	0	0	4	2	3	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0
K13016: UDP-D-GlcNAcA oxidase [EC:1.1.1.-]	73	33	140	94	138	51	27	135	107	41	75	32	89	90	89	38	59	56	138	34	59	28	136	74	71	34	92	21	37	43	82	0	12	55	65	80	23	0
K13017: UDP-3-keto-D-GlcNAcA aminotransferase [EC:2.6.1.-]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K08566: plasminogen activator [EC:3.4.23.48]	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	80	0	1	0	0	0	0	0	0	0
K08567: hydrogenase 2 maturation protease [EC:3.4.24.-]	56	65	88	144	45	11	53	77	50	87	88	50	102	95	55	160	39	30	208	24	44	151	125	20	13	125	265	237	13	51	144	273	62	63	128	23	282	324
K13274: cell wall-associated protease [EC:3.4.21.-]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K13275: major intracellular serine protease [EC:3.4.21.-]	1	0	0	0	0	2	7	0	1	2	0	4	0	18	6	0	0	0	0	2	2	4	0	0	0	0	0	1	0	0	0	0	16	2	5	0	63	8
K13276: bacillopeptidase F [EC:3.4.21.-]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
K13277: minor extracellular protease Epr [EC:3.4.21.-]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K03275: UDP-glucose:(glucosyl)LPS alpha-1,3-glucosyltransferase [EC:2.4.1.-]	0	24	8	73	0	0	17	15	0	85	0	16	27	72	3	93	1	0	188	0	0	0	63	0	9	48	114	241	10	46	1	34	26	1	50	0	343	348
K03274: ADP-L-glycero-D-manno-heptose 6-epimerase [EC:5.1.3.20]	124	88	55	85	12	164	90	37	14	87	104	131	269	123	78	164	96	135	198	32	282	55	135	32	161	173	149	265	149	95	68	36	322	45	62	55	398	410
K03277: heptosyltransferase IV [EC:2.4.-.-]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K03276: UDP-glucose/galactose:(glucosyl)LPS alpha-1,2-glucosyl/galactosyltransferase [EC:2.4.1.-]	0	14	4	0	0	0	0	4	0	0	0	7	0	0	0	13	1	0	0	0	0	0	0	0	0	22	7	41	0	10	0	0	0	0	2	0	187	32
K03271: phosphoheptose isomerase [EC:5.-.-.-]	353	324	222	156	338	374	406	241	263	376	311	540	411	291	299	349	393	603	225	1053	966	184	388	337	464	613	336	382	275	378	206	272	407	271	206	202	463	624
K03270: 3-deoxy-D-manno-octulosonate 8-phosphate phosphatase (KDO 8-P phosphatase) [EC:3.1.3.45]	558	647	765	805	724	550	343	692	601	461	636	462	667	571	732	622	675	432	768	350	326	745	658	591	472	563	699	762	833	538	853	522	621	702	526	470	537	547
K03273: D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase [EC:3.1.3.-]	263	186	145	114	179	276	242	160	141	296	218	273	356	171	180	249	240	339	209	64	631	97	272	164	311	421	232	288	182	222	135	64	353	133	137	134	407	500
K03272: D-beta-D-heptose 7-phosphate kinase / D-beta-D-heptose 1-phosphate adenosyltransferase [EC:2.7.1.- 2.7.7.-]	376	159	130	164	12	210	99	65	114	175	148	185	527	202	114	295	64	307	395	62	586	82	239	34	310	306	320	513	247	219	85	75	130	32	156	32	775	746
K03279: UDP-glucose:(galactosyl)LPS alpha-1,2-glucosyltransferase [EC:2.4.1.58]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
K03278: UDP-D-galactose:(glucosyl)LPS alpha-1,3-D-galactosyltransferase [EC:2.4.1.44]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K11022: structural toxin protein (hemagglutinin/hemolysin) RtxA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K12277: MSHA biogenesis protein MshF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K12276: MSHA biogenesis protein MshE	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	3
K12270: accessory secretory protein Asp3	15	0	2	0	0	15	1	0	19	27	17	20	10	3	16	2	0	2	2	9	5	5	0	26	2	1	5	6	0	0	4	1	24	0	1	0	15	4
K11058: enterotoxin Cpe	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K12279: MSHA biogenesis protein MshI	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	3
K12278: MSHA biogenesis protein MshG	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	3
K07557: archaeosine tRNA-ribosyltransferase [EC:2.4.2.-]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K07550: benzoylsuccinyl-CoA thiolase BbsB subunit [EC:2.3.1.-]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K07552: MFS transporter, DHA1 family, bicyclomycin/chloramphenicol resistance protein	442	381	413	662	401	367	255	428	225	414	300	180	496	489	363	550	416	255	699	156	134	340	505	270	177	301	515	903	916	385	474	141	847	394	396	347	666	775
K06319: spore maturation protein CgeA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K09909: hypothetical protein	0	14	7	0	0	0	2	4	0	4	0	14	1	9	8	43	1	0	7	4	1	0	22	5	1	23	12	41	0	10	0	0	15	1	16	0	230	35
K09908: hypothetical protein	0	24	10	73	0	0	19	17	1	86	0	23	28	81	11	123	2	0	195	5	1	0	84	6	10	50	119	242	90	47	2	35	41	2	59	0	380	351
K12051: ComB7 competence protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K12050: ComB8 competence protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K12057: conjugal transfer pilus assembly protein TraF	130	22	7	79	13	1	17	12	0	86	0	12	39	72	3	84	1	28	188	2	0	0	85	0	15	28	108	207	87	39	5	35	25	1	47	28	240	323
K12056: conjugal transfer mating pair stabilization protein TraG	0	14	7	73	1	1	17	12	0	86	0	12	27	72	3	84	1	0	188	2	0	0	68	0	15	28	108	207	87	39	5	35	25	1	47	0	240	323
K06221: 2,5-diketo-D-gluconate reductase A [EC:1.1.1.274]	20	29	17	235	109	19	26	169	26	141	15	25	33	152	7	111	23	38	269	23	17	21	133	54	9	73	119	243	173	134	41	35	26	41	147	135	351	358
K09900: hypothetical protein	0	25	12	73	0	1	18	15	0	87	0	29	29	90	19	145	2	1	201	4	1	0	84	9	11	51	124	242	90	47	2	35	55	3	68	1	409	348
K09903: uridylate kinase [EC:2.7.4.22]	1341	1232	1159	854	1113	1305	1381	1006	1244	1578	1148	1409	1153	927	1167	1238	1189	1439	778	1487	1396	1068	1047	1154	1320	1079	881	1017	1009	1337	1173	1521	967	1369	1329	1573	756	756
K09902: hypothetical protein	0	11	6	73	0	0	18	12	1	89	0	16	28	84	12	110	0	1	194	5	1	0	84	6	10	29	113	201	91	37	2	34	40	2	61	0	193	320
K09904: hypothetical protein	0	24	10	73	0	0	19	15	0	86	0	23	28	81	11	123	2	0	195	5	1	0	84	6	10	50	119	242	90	47	2	35	41	2	59	0	380	351
K09907: hypothetical protein	0	24	10	73	0	0	19	15	0	86	0	23	28	84	12	123	2	1	195	5	1	0	84	6	10	50	120	242	90	47	2	35	41	2	59	0	380	351
K09906: hypothetical protein	0	24	10	73	0	0	19	15	0	89	0	23	28	81	11	123	2	0	195	5	1	0	84	6	10	50	120	242	90	47	2	35	41	2	63	0	380	351
K11501: centromere protein I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K03234: elongation factor EF-2 [EC:3.6.5.3] or elongation factor 2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00773: queuine tRNA-ribosyltransferase [EC:2.4.2.29]	1266	973	1159	830	1111	1236	1353	964	1244	1578	1146	1408	1023	815	1156	1149	1057	1410	776	1484	1396	1043	1047	1138	1291	1079	799	1017	633	1166	1173	1521	796	1303	1314	1572	749	754
K00772: 5'-methylthioadenosine phosphorylase [EC:2.4.2.28]	152	83	58	24	122	217	194	50	89	83	139	126	255	71	101	103	170	290	4	38	531	52	88	101	223	248	40	28	45	127	77	15	284	52	39	88	17	86
K00777: None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00776: NAD-diphthamide ADP-ribosyltransferase [EC:2.4.2.36]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K06313: spore germination protein	19	5	5	2	4	58	8	8	69	1	14	1	23	1	56	3	8	60	2	8	38	20	46	5	15	14	7	6	3	0	0	3	0	1	72	39	3	5
K06315: transcriptional regulator of the spore photoproduct lyase operon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
K05574: NADH dehydrogenase I subunit 3 [EC:1.6.5.3] or NAD(P)H-quinone oxidoreductase subunit 3 [EC:1.6.5.3]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K10201: N-acetylglucosamine transport system permease protein	65	38	75	34	140	103	275	44	155	388	78	135	55	64	68	57	132	171	7	38	298	36	60	121	87	155	32	56	29	135	131	169	41	227	103	195	10	30
K07176: putative serine/threonine protein kinase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K07177: PDZ domain-containing protein	6	8	18	3	6	34	18	2	8	25	3	29	5	3	4	6	3	2	7	30	5	2	1	5	5	3	0	17	10	3	2	5	46	1	2	0	27	13
K07174: Mn2+-dependent serine/threonine protein kinase [EC:2.7.1.-]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K07175: PhoH-like ATPase	408	622	567	407	487	490	308	465	409	394	383	415	665	381	405	458	511	374	369	1045	520	577	413	349	655	457	515	204	667	445	661	776	518	554	355	407	82	211
K07172: None	72	55	165	17	12	203	45	41	67	10	84	50	16	89	61	118	25	112	7	41	133	22	96	54	404	76	36	74	145	174	129	127	1	59	114	19	189	39
K07173: S-ribosylhomocysteine lyase [EC:4.4.1.21]	664	707	791	607	784	827	1157	711	820	1445	829	1057	564	634	808	917	758	958	595	450	916	540	690	844	919	608	506	517	391	956	738	1081	455	944	1058	1277	692	533
K07170: GAF domain-containing protein	294	554	505	656	575	288	260	606	462	349	438	351	432	516	472	398	498	311	686	227	233	518	484	443	285	398	528	708	756	490	543	456	333	453	454	356	495	546
K07171: None	1178	1317	1041	338	1043	1689	2153	709	1401	2791	1022	1947	723	941	1121	1518	1182	1940	361	1319	1937	707	914	1583	1889	1073	550	639	505	1764	1082	2351	679	1745	1665	2229	581	636
K07178: RIO kinase 1 [EC:2.7.11.1]	0	0	0	0	0	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	2	0	0	0	1	0	0	3
K07179: RIO kinase 2 [EC:2.7.11.1]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00195: acetyl-CoA decarbonylase/synthase complex subunit epsilon or carbon-monoxide dehydrogenase epsilon subunit [EC:1.2.99.2]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00194: acetyl-CoA decarbonylase/synthase complex subunit delta or carbon-monoxide dehydrogenase delta subunit [EC:1.2.99.2]	50	15	59	21	45	74	176	18	105	334	53	100	38	30	55	8	56	43	8	29	38	30	26	55	22	14	23	53	31	69	129	166	53	195	71	178	33	14
K00197: carbon-monoxide dehydrogenase gamma subunit [EC:1.2.99.2] or acetyl-CoA decarbonylase/synthase complex subunit gamma [EC:2.1.1.-]	53	16	59	21	45	75	177	19	106	334	53	100	38	30	55	8	58	46	8	29	41	32	26	55	22	15	23	53	31	69	129	166	53	195	72	178	33	14
K00196: carbon-monoxide dehydrogenase iron sulfur subunit	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
