	S12	S10	S11	S1	S28	S8	S20	S15	S39	S27	S21	S3	S32	S14	S9	S25	S33	S34	S4	S40	S37	S19	S30	S22	S26	S16	S2	S36	S7	S6	S17	S5	S35	S38	S23	S18	S24	S31	S29	S13
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0	0	0	0	0	0	0	1.05886	0.81685	0	0	0.35209	0	0.88558	0	0	0	0	0	0	0	0	0	0	1.18645	0	0	0	0	0	0	0	1.5346	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	0	0	0	0	0	0	0	1.05886	0.81685	0	0	0.35209	0	0.88558	0	0	0	0	0	0	0	0	0	0	1.18645	0	0	0	0	0	0	0	1.5346	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	0	0	0	0	0	0	0	1.05886	0.81685	0	0	0.35209	0	0.88558	0	0	0	0	0	0	0	0	0	0	1.18645	0	0	0	0	0	0	0	1.5346	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11053	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis|t__Bifidobacterium_adolescentis_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11053	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_bifidum	0	0	0	0	0	0	0	0	0.81685	0	0	0	0	0.01352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_bifidum|t__Bifidobacterium_bifidum_unclassified	0	0	0	0	0	0	0	0	0.81685	0	0	0	0	0.01352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum	0	0	0	0	0	0	0	1.05886	0	0	0	0.35209	0	0.87206	0	0	0	0	0	0	0	0	0	0	1.18645	0	0	0	0	0	0	0	1.42407	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum|t__Bifidobacterium_longum_unclassified	0	0	0	0	0	0	0	1.05886	0	0	0	0.35209	0	0.87206	0	0	0	0	0	0	0	0	0	0	1.18645	0	0	0	0	0	0	0	1.42407	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0	0	0	0	0	0	0	0	0.38005	0	0	0	0.40517	0	0	0	0	0	0	0	0	0	0	0	0	0.27192	0	0	0	0	0.65285	0	1.22559	0	0	0.04197	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	0	0	0	0	0	0	0	0	0.38005	0	0	0	0.40517	0	0	0	0	0	0	0	0	0	0	0	0	0.27192	0	0	0	0	0.65285	0	1.22559	0	0	0.04197	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella	0	0	0	0	0	0	0	0	0	0	0	0	0.13503	0	0	0	0	0	0	0	0	0	0	0	0	0.27192	0	0	0	0	0.65285	0	0.68357	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_aerofaciens	0	0	0	0	0	0	0	0	0	0	0	0	0.13503	0	0	0	0	0	0	0	0	0	0	0	0	0.27192	0	0	0	0	0.65285	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_aerofaciens|t__GCF_000169035	0	0	0	0	0	0	0	0	0	0	0	0	0.13503	0	0	0	0	0	0	0	0	0	0	0	0	0.27192	0	0	0	0	0.65285	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_intestinalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41384	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_intestinalis|t__GCF_000156175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41384	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.26974	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella	0	0	0	0	0	0	0	0	0.38005	0	0	0	0.27014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.54202	0	0	0.04197	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella|s__Eggerthella_unclassified	0	0	0	0	0	0	0	0	0.38005	0	0	0	0.27014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.54202	0	0	0.04197	0	0	0	0
k__Bacteria|p__Bacteroidetes	43.94106	87.71054	74.93503	55.26164	41.37577	59.96239	68.95102	59.57263	62.08318	24.85247	45.87821	68.42324	61.12155	29.80785	84.64779	59.96239	47.14508	0	78.40539	61.66912	46.19366	7.85377	27.65529	33.19057	32.63216	50.75355	0.8467	45.3089	61.18123	6.51548	67.07818	66.44927	47.06205	0	24.60219	67.8786	35.73423	35.34563	22.38713	14.57536
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	43.94106	87.71054	74.93503	55.26164	41.37577	59.96239	68.95102	59.57263	62.08318	24.85247	45.87821	68.42324	61.12155	29.80785	84.64779	59.96239	47.14508	0	78.40539	61.66912	46.19366	7.85377	27.65529	33.19057	32.63216	50.75355	0.8467	45.3089	61.18123	6.51548	67.07818	66.44927	47.06205	0	24.60219	67.8786	35.73423	35.34563	22.38713	14.57536
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	43.94106	87.71054	74.93503	55.26164	41.37577	59.96239	68.95102	59.57263	62.08318	24.85247	45.87821	68.42324	61.12155	29.80785	84.64779	59.96239	47.14508	0	78.40539	61.66912	46.19366	7.85377	27.65529	33.19057	32.63216	50.75355	0.8467	45.3089	61.18123	6.51548	67.07818	66.44927	47.06205	0	24.60219	67.8786	35.73423	35.34563	22.38713	14.57536
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	31.50913	81.64077	63.21015	42.92759	41.37577	15.46096	60.28211	37.64114	47.41837	24.85247	45.87821	58.08623	40.17169	25.80231	61.94064	15.46096	38.04779	0	78.40539	44.01781	44.89436	5.00117	27.65529	32.44524	32.63216	33.14989	0.8467	45.3089	39.48162	6.51548	57.78188	41.39625	43.58775	0	18.97876	55.56454	28.61484	35.34563	22.38713	14.57536
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	31.50913	81.64077	63.21015	42.92759	41.37577	15.46096	60.28211	37.64114	47.41837	24.85247	45.87821	58.08623	40.17169	25.80231	61.94064	15.46096	38.04779	0	78.40539	44.01781	44.89436	5.00117	27.65529	32.44524	32.63216	33.14989	0.8467	45.3089	39.48162	6.51548	57.78188	41.39625	43.58775	0	18.97876	55.56454	28.61484	35.34563	22.38713	14.57536
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae	6.34225	22.65696	10.0544	4.67807	0	0	14.89361	1.78486	15.13152	0	0	0	14.07195	2.85883	32.97874	0	0	0	0	8.80234	5.60822	0	0	11.71729	0	13.63494	0.22279	0	19.89063	0	20.2929	0	0	0	0	0	0	7.73021	8.71105	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae|t__Bacteroides_caccae_unclassified	6.34225	22.65696	10.0544	4.67807	0	0	14.89361	1.78486	15.13152	0	0	0	14.07195	2.85883	32.97874	0	0	0	0	8.80234	5.60822	0	0	11.71729	0	13.63494	0.22279	0	19.89063	0	20.2929	0	0	0	0	0	0	7.73021	8.71105	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_cellulosilyticus	0	0	0	0	0	0	0	0	0	0	0	0.10726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.49014	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_cellulosilyticus|t__Bacteroides_cellulosilyticus_unclassified	0	0	0	0	0	0	0	0	0	0	0	0.10726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.49014	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_clarus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.21689	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_clarus|t__GCF_000195615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.21689	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_coprocola	0	0	0	0	0	0	0	0	0	0	0	0	0	6.46688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_coprocola|t__GCF_000154845	0	0	0	0	0	0	0	0	0	0	0	0	0	6.46688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_coprophilus	0	0	0	0	0	0	0	0	0	0	0	0	0	12.09797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_coprophilus|t__GCF_000157915	0	0	0	0	0	0	0	0	0	0	0	0	0	12.09797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_dorei	0	27.62045	30.48099	0	33.71002	0	7.81868	0	0.1973	0	32.57016	0	0	0	0	0	32.25702	0	0	0	5.05502	1.54347	0	12.90764	0	0.43591	0	17.38464	0	0	0	0	0	0	0.09796	36.22848	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_dorei|t__Bacteroides_dorei_unclassified	0	27.62045	30.48099	0	33.71002	0	7.81868	0	0.1973	0	32.57016	0	0	0	0	0	32.25702	0	0	0	5.05502	1.54347	0	12.90764	0	0.43591	0	17.38464	0	0	0	0	0	0	0.09796	36.22848	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_eggerthii	0	0	0	0	0	0	0	0	0	0	0	0.48897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_eggerthii|t__Bacteroides_eggerthii_unclassified	0	0	0	0	0	0	0	0	0	0	0	0.48897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_faecis	0	0	0	0	0	0	0	0	0	0	0	0	0	0.55075	0	0	0	0	0	0	0	0	0	0	0	0.21506	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_faecis|t__GCF_000226135	0	0	0	0	0	0	0	0	0	0	0	0	0	0.55075	0	0	0	0	0	0	0	0	0	0	0	0.21506	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_finegoldii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.08854	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_finegoldii|t__Bacteroides_finegoldii_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.08854	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis	0	0	4.25159	0.50859	0	0	0	3.81389	14.8018	19.3515	12.85612	33.78106	9.46154	0	2.50884	0	0	0	50.38747	6.31893	0.55819	0	5.6812	0	0	0	0.13644	15.86482	0	0	0	0	0	0	6.19016	1.37374	11.39162	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis|t__Bacteroides_fragilis_unclassified	0	0	4.25159	0.50859	0	0	0	3.81389	14.8018	19.3515	12.85612	33.78106	9.46154	0	2.50884	0	0	0	50.38747	6.31893	0.55819	0	5.6812	0	0	0	0.13644	15.86482	0	0	0	0	0	0	6.19016	1.37374	11.39162	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_intestinalis	0	0	0	0	0	0	0	12.40265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_intestinalis|t__GCF_000172175	0	0	0	0	0	0	0	12.40265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_massiliensis	0	0	0	18.02959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.18645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.6756	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_massiliensis|t__Bacteroides_massiliensis_unclassified	0	0	0	18.02959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.18645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.6756	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_nordii	2.04074	0	0	0	0	0	0	0	0.27662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_nordii|t__GCF_000273175	2.04074	0	0	0	0	0	0	0	0.27662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus	1.71295	0	0.59497	0	3.3492	15.46096	3.97745	0.17808	0.2587	1.03269	0.35377	0.31652	0	0.07856	0.07697	15.46096	2.09312	0	7.2661	1.9579	3.34089	0	0	0	0	0.64008	0	6.63278	1.74643	0	2.40524	1.9329	15.90672	0	0.77268	0.20534	0.67235	0	0	2.64693
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus|t__Bacteroides_ovatus_unclassified	1.71295	0	0.59497	0	3.3492	15.46096	3.97745	0.17808	0.2587	1.03269	0.35377	0.31652	0	0.07856	0.07697	15.46096	2.09312	0	7.2661	1.9579	3.34089	0	0	0	0	0.64008	0	6.63278	1.74643	0	2.40524	1.9329	15.90672	0	0.77268	0.20534	0.67235	0	0	2.64693
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_plebeius	0	0	0	1.41077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_plebeius|t__GCF_000187895	0	0	0	1.41077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_1_1_6	0	0	0	0	0	0	0	0	0	0	0	12.11102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_1_1_6|t__GCF_000159875	0	0	0	0	0	0	0	0	0	0	0	12.11102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_stercoris	0	0	0	0	0	0	0	0	0	0	0	0	0	0.92643	5.41376	0	0	0	7.38734	0	0	0	0	0	0	0.17075	0	0	0	0	3.82416	0	0	0	0	7.34739	0	1.64017	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_stercoris|t__Bacteroides_stercoris_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0.92643	5.41376	0	0	0	7.38734	0	0	0	0	0	0	0.17075	0	0	0	0	3.82416	0	0	0	0	7.34739	0	1.64017	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron	0	10.56433	10.55346	9.28804	4.31655	0	0	4.68338	3.94234	0	0	0	3.00951	0.87642	2.40982	0	3.69766	0	0	6.15156	4.25598	0	0	0.19893	0	0	0	0	12.04132	0	1.37119	7.2726	0	0	0.57562	0	0	2.75721	7.50065	11.92843
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron|t__Bacteroides_thetaiotaomicron_unclassified	0	10.56433	10.55346	9.28804	4.31655	0	0	4.68338	3.94234	0	0	0	3.00951	0.87642	2.40982	0	3.69766	0	0	6.15156	4.25598	0	0	0.19893	0	0	0	0	12.04132	0	1.37119	7.2726	0	0	0.57562	0	0	2.75721	7.50065	11.92843
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis	11.85923	5.27373	7.27474	0	0	0	10.06439	5.43315	0.33641	0	0.09815	11.28139	6.95394	0.15694	5.43149	0	0	0	0.63241	0.06402	7.58673	0	1.05967	0.53963	0	13.17962	0	5.42666	0	0	9.39887	0	8.48236	0	2.3951	1.58636	1.01767	5.16805	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis|t__Bacteroides_uniformis_unclassified	11.85923	5.27373	7.27474	0	0	0	10.06439	5.43315	0.33641	0	0.09815	11.28139	6.95394	0.15694	5.43149	0	0	0	0.63241	0.06402	7.58673	0	1.05967	0.53963	0	13.17962	0	5.42666	0	0	9.39887	0	8.48236	0	2.3951	1.58636	1.01767	5.16805	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus	9.55396	15.5253	0	9.01252	0	0	23.52798	9.34512	12.3801	4.46828	0	0	4.82986	1.78953	13.12101	0	0	0	12.73206	20.72305	18.48934	0.27125	20.91442	7.08174	32.63216	4.87352	0.48747	0	2.71469	6.51548	20.27263	32.19075	19.19866	0	8.94725	7.8286	14.04305	1.37438	6.17544	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus|t__Bacteroides_vulgatus_unclassified	9.55396	15.5253	0	9.01252	0	0	23.52798	9.34512	12.3801	4.46828	0	0	4.82986	1.78953	13.12101	0	0	0	12.73206	20.72305	18.48934	0.27125	20.91442	7.08174	32.63216	4.87352	0.48747	0	2.71469	6.51548	20.27263	32.19075	19.19866	0	8.94725	7.8286	14.04305	1.37438	6.17544	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_xylanisolvens	0	0	0	0	0	0	0	0	0.09358	0	0	0	1.84488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.99463	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_xylanisolvens|t__Bacteroides_xylanisolvens_unclassified	0	0	0	0	0	0	0	0	0.09358	0	0	0	1.84488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.99463	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	0	2.16307	9.35312	4.68616	0	44.50143	4.90233	5.48051	5.01045	0	0	8.92488	18.12289	2.92375	17.59852	44.50143	9.09728	0	0	6.11416	1.2993	0	0	0.74533	0	10.90288	0	0	16.10817	0	5.39256	13.03903	3.4743	0	2.70174	9.20664	6.99653	0	0	0
