	S12	S10	S11	S1	S28	S8	S20	S15	S39	S27	S21	S3	S32	S14	S9	S25	S33	S34	S4	S40	S37	S19	S30	S22	S26	S16	S2	S36	S7	S6	S17	S5	S35	S38	S23	S18	S24	S31	S29	S13
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_plebeius|t__GCF_000187895	0	0	0	1.41077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_1_1_6|t__GCF_000159875	0	0	0	0	0	0	0	0	0	0	0	12.11102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_stercoris|t__Bacteroides_stercoris_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0.92643	5.41376	0	0	0	7.38734	0	0	0	0	0	0	0.17075	0	0	0	0	3.82416	0	0	0	0	7.34739	0	1.64017	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron|t__Bacteroides_thetaiotaomicron_unclassified	0	10.56433	10.55346	9.28804	4.31655	0	0	4.68338	3.94234	0	0	0	3.00951	0.87642	2.40982	0	3.69766	0	0	6.15156	4.25598	0	0	0.19893	0	0	0	0	12.04132	0	1.37119	7.2726	0	0	0.57562	0	0	2.75721	7.50065	11.92843
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis|t__Bacteroides_uniformis_unclassified	11.85923	5.27373	7.27474	0	0	0	10.06439	5.43315	0.33641	0	0.09815	11.28139	6.95394	0.15694	5.43149	0	0	0	0.63241	0.06402	7.58673	0	1.05967	0.53963	0	13.17962	0	5.42666	0	0	9.39887	0	8.48236	0	2.3951	1.58636	1.01767	5.16805	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus|t__Bacteroides_vulgatus_unclassified	9.55396	15.5253	0	9.01252	0	0	23.52798	9.34512	12.3801	4.46828	0	0	4.82986	1.78953	13.12101	0	0	0	12.73206	20.72305	18.48934	0.27125	20.91442	7.08174	32.63216	4.87352	0.48747	0	2.71469	6.51548	20.27263	32.19075	19.19866	0	8.94725	7.8286	14.04305	1.37438	6.17544	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_xylanisolvens|t__Bacteroides_xylanisolvens_unclassified	0	0	0	0	0	0	0	0	0.09358	0	0	0	1.84488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.99463	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Barnesiella|s__Barnesiella_intestinihominis|t__GCF_000296465	0	0	4.85317	4.68616	0	0	0	4.08198	0	0	0	0	4.13108	2.33198	5.69788	0	0	0	0	0	0	0	0	0.74533	0	5.42392	0	0	7.62367	0	1.29087	0	0	0	2.70174	2.38872	6.99653	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Coprobacter|s__Coprobacter_fastidiosus|t__GCF_000473955	0	2.16307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01189	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_distasonis|t__Parabacteroides_distasonis_unclassified	0	0	0	0	0	9.1447	0	0	0.89098	0	0	2.82407	9.20299	0	1.89866	9.1447	2.84328	0	0	1.89506	0	0	0	0	0	1.1641	0	0	0	0	1.02232	0	0	0	0	0.67537	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_goldsteinii|t__Parabacteroides_goldsteinii_unclassified	0	0	0	0	0	0	0	0	0	0	0	0.20784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_merdae|t__Parabacteroides_merdae_unclassified	0	0	3.39013	0	0	0	4.90233	0	2.59144	0	0	0.36509	0	0.40386	10.00199	0	2.23063	0	0	0	0.3146	0	0	0	0	3.39259	0	0	0.71862	0	0	0	3.4743	0	0	4.76919	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella|s__Paraprevotella_clara|t__GCF_000233955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1942	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri|t__GCF_000157935	0	0	0	5.49083	0	0	0	0	4.94084	0	0	0	0	0.68037	0	0	0	0	0	0	0	2.8526	0	0	0	1.79177	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_finegoldii|t__GCF_000265365	0	0	0	0	0	0	0	0.58358	1.81421	0	0	0.08199	0.14741	0	0	0	0	0	0	3.11796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13859	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_onderdonkii|t__GCF_000374505	0	0	0	1.56817	0	0	0.06263	7.71742	1.34151	0	0	0	0	0	0.0543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.56454	0	0	0	0.24926	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis|t__GCF_000154465	12.07927	3.90671	2.37176	0	0	0	2.87381	8.14998	0	0	0	0	2.67957	0.36279	5.05433	0	0	0	0	8.41919	0	0	0	0	0	1.12143	0	0	5.59145	0	3.3392	12.01399	0	0	2.53383	3.10741	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii|t__GCF_000210575	0.35265	0	0	0	0	0	0	0	0	0	0	0	0	0.03864	0	0	0	0	0	0	0	0	0	0	0	0.45919	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_mitis_oralis_pneumoniae|t__Streptococcus_mitis_oralis_pneumoniae_unclassified	0	0	0	0	0	0	0	0	0	2.92617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridiaceae_noname|s__Clostridiaceae_bacterium_JC118|t__GCF_000313565	0	0	0	0	0	0	0	0	0	0	0	0.11206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_asparagiforme|t__GCF_000158075	0	0	0	0	0	0	0	0	0.0722	0	0	0	0	0	0	0	0	0	0	1.03075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_bolteae|t__Clostridium_bolteae_unclassified	0	0	0	0	0	0	0	0	0.33433	0	0	0.04656	0	0	0	0	0	0	0	0	0	0	0	0	0.53601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_celatum|t__GCF_000320405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1682	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_clostridioforme|t__Clostridium_clostridioforme_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17742	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_nexile|t__GCF_000156035	0	0	0	0	0	1.69612	0	0	0	0	0	0	0	0	0	1.69612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.70085	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_perfringens|t__Clostridium_perfringens_unclassified	0	0	0	0	0	0	0	0	0	5.17996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_symbiosum|t__Clostridium_symbiosum_unclassified	0	0	0.98721	0	0	0	0	0	2.56781	5.67696	0	0.01698	0	0	0	0	0	0	0	5.33932	1.86459	0	0	3.01502	24.21286	0	0	3.65579	0	0	0	0	1.40609	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname|g__Clostridiales_noname|s__Clostridiales_bacterium_1_7_47FAA|t__GCF_000155435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname|g__Flavonifractor|s__Flavonifractor_plautii|t__GCF_000239295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.67197	0	0	0	0	0	0	0	0	0	0.633	0	0	0	0	0	0	0	0.03586	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_eligens|t__GCF_000146185	0	0	0	0	0	0	0	0.69151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.60747	0.48593	0	0	0	0	0	0.10954	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_hallii|t__GCF_000173975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17812	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_ramulus|t__GCF_000469345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.54933	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_rectale|t__Eubacterium_rectale_unclassified	0.52253	0	0	1.2458	0	0	1.68717	2.10347	0	0	0	0	0	0	1.00483	0	0	0	0	0	2.2906	0	0	0	2.7517	0	0	0	0	0	0.63543	0	1.2419	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_siraeum|t__Eubacterium_siraeum_unclassified	0	0	0	0	0	0	0	0.12727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.14029	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_ventriosum|t__GCF_000153885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.66864	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_hadrus|t__GCF_000332875	0	0	0	0	0.37636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_gnavus|t__Ruminococcus_gnavus_unclassified	0	1.18843	0.31076	0	0	10.18798	0	0	1.98836	0	0	4.44076	0	0	0	10.18798	0	0	0	0.49665	0	0	0	0	9.55857	0	0	1.59167	0	0	0.45771	0	0.38295	0	0	0	0.64622	0.86934	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_obeum|t__Ruminococcus_obeum_unclassified	0	0	0.08589	0	0	0	0.45715	0	0	0	0	0	0	0.15977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01265	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_torques|t__Ruminococcus_torques_unclassified	0	6.63846	15.07726	0	0	3.81953	2.53912	3.17836	11.24646	0	0	14.95063	2.16528	2.5401	5.53734	3.81953	0	0	13.94305	16.485	15.16144	0	0	0	6.61797	1.75985	0	16.73394	0	0	9.20019	19.17131	7.37995	0	0	3.4621	5.01196	0	31.47545	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_comes|t__GCF_000155875	1.45455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.97506	0	0	0	0	0.5482	0	0	0	0	4.08391	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_formicigenerans|t__Dorea_formicigenerans_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0.13778	0	0	0	0	0	0	0	0	0	0	0	0	0.36205	0	0	0	0	0	0	0.25208	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_1_1_57FAA|t__GCF_000218445	0	0	0	0	0	3.08142	0	1.61035	0	0	0	0	0	0.31298	0	3.08142	0	0	0	0	0	0	0	0	0	0	0	3.02211	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_2_1_58FAA|t__GCF_000218465	0	0	0	0	0	2.29577	0	0	0	0	0	1.13487	0	0	0	2.29577	0	0	0	0	0	0	0	0	1.00113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_3_1_46FAA|t__GCF_000209405	0	0	0.72847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28777	0.14097	0	0	0	0	0	0	0	0	0	0	0	1.31721	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_5_1_63FAA|t__GCF_000185525	0	0	0	0	0.3467	0	0	0	0	0	0	0	0	0	0	0	2.1595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_8_1_57FAA|t__GCF_000185545	0	0	0	0	0	0	1.39299	1.12967	0	0	0	0	0.5787	0	0	0	0	0	0	3.21743	10.74145	0	0	0	0	0	0	2.28534	0	0	1.34672	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_9_1_43BFAA|t__GCF_000209445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.72173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_hominis|t__GCF_000225345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.56611	0	0	0	0	0	0	0.03705	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_intestinalis|t__Roseburia_intestinalis_unclassified	0.97241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.10687	0	0	0	0	0	0	0.75055	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_inulinivorans|t__GCF_000174195	0	0	0	4.45866	0	0	0	0	1.24365	0	0	0	0	0.08773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.65211	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcaceae_noname|s__Clostridium_bartlettii|t__GCF_000154445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05931	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcaceae_noname|s__Clostridium_difficile|t__Clostridium_difficile_unclassified	0	0	0	0	0	0	0	0	0	1.70261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii|t__Faecalibacterium_prausnitzii_unclassified	18.99127	0.36908	2.64628	30.09728	45.46086	3.01722	15.9309	8.46041	9.04455	20.30084	36.91147	0.20256	10.62438	1.74506	3.68194	3.01722	20.39745	0	1.33081	10.97273	17.9	11.73565	54.06877	18.35379	2.60153	24.00567	3.49169	12.45594	11.39078	0	9.44224	0	23.12502	0	4.77889	0.61758	5.64929	0	39.71858	0.36406
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_lactaris|t__Ruminococcus_lactaris_unclassified	0	0	0	0	0	0	0	0.18771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.49544	0	0	0	0	0	0	0	0	0	0	0	0
